Gab, default, 21
Direcao Jogada: DOWN
Direcao Jogada: LEFT
Direcao Jogada: LEFT
Direcao Jogada: UP
Direcao Jogada: DOWN
Direcao Jogada: LEFT
Direcao Jogada: LEFT
Direcao Jogada: UP
Direcao Jogada: RIGHT
Direcao Jogada: RIGHT
Direcao Jogada: RIGHT
Direcao Jogada: UP
Direcao Jogada: UP
Direcao Jogada: LEFT
Direcao Jogada: DOWN
Direcao Jogada: RIGHT
Direcao Jogada: DOWN
Direcao Jogada: DOWN
Direcao Jogada: RIGHT
Direcao Jogada: RIGHT
Direcao Jogada: UP
Direcao Jogada: LEFT
Direcao Jogada: RIGHT
Direcao Jogada: DOWN
Direcao Jogada: LEFT
Direcao Jogada: LEFT
Direcao Jogada: UP
Direcao Jogada: DOWN
Direcao Jogada: LEFT
Direcao Jogada: LEFT
Direcao Jogada: UP
Direcao Jogada: RIGHT
Direcao Jogada: RIGHT
Direcao Jogada: RIGHT
Direcao Jogada: UP
Direcao Jogada: UP
Direcao Jogada: LEFT
Direcao Jogada: DOWN
Direcao Jogada: RIGHT
Direcao Jogada: DOWN
Direcao Jogada: DOWN
Direcao Jogada: RIGHT
Direcao Jogada: RIGHT
Direcao Jogada: UP
